"table1.customerid","table1.dominant_gender","table1.max_gender","table2.dominant_size","table2.max_size","table3.last_purchase"
"11873610","Accessoires","1","46","1","2015-11-01 20:03:09.0"
"11873610","Accessoires","1","95","1","2015-11-01 20:03:09.0"
"11873610","Sacs","1","46","1","2015-11-01 20:03:09.0"
"11873610","Sacs","1","95","1","2015-11-01 20:03:09.0"
"11873610","Homme","1","46","1","2015-11-01 20:03:09.0"
"11873610","Homme","1","95","1","2015-11-01 20:03:09.0"
"11882473","Enfant","1","28","1","2015-11-01 19:37:05.0"
"11882473","Enfant","1","38","1","2015-11-01 19:37:05.0"
"11882473","Femme","1","28","1","2015-11-01 19:37:05.0"
"11882473","Femme","1","38","1","2015-11-01 19:37:05.0"
"11883878","Femme","1","37","1","2015-11-01 12:28:17.0"
"11886003","Homme","1","43","1","2015-11-01 20:58:18.0"
"11889165","Femme","1","39","1","2015-11-01 12:26:15.0"
"11894257","Femme","1","40","1","2015-11-01 21:02:11.0"
"11897151","Femme","1","38","1","2015-11-01 14:33:10.0"
"11905964","Homme","1","42","1","2015-11-01 20:51:17.0"
"11907149","Femme","1","38","1","2015-11-01 19:52:16.0"
"11907749","Femme","1","38","1","2015-11-01 10:39:06.0"
"11919293","Enfant","1","27","1","2015-11-01 21:04:12.0"
"11919293","Homme","1","27","1","2015-11-01 21:04:12.0"
"11937768","Enfant","1","","0","2015-11-01 17:58:17.0"
"11937768","Femme","1","","0","2015-11-01 17:58:17.0"
"11939178","Femme","1","40","1","2015-11-01 20:45:00.0"
"11939284","Femme","1","39","1","2015-11-01 08:25:15.0"
"11942696","Femme","1","38","1","2015-11-01 14:31:06.0"
"11942696","Homme","1","38","1","2015-11-01 14:31:06.0"
"11946907","Enfant","1","","0","2015-11-01 22:31:18.0"
"11954292","Femme","2","38","2","2015-11-01 18:53:17.0"
"11996784","Homme","3","42","3","2015-11-01 20:54:05.0"
"11998383","Enfant","1","32","1","2015-11-01 16:53:07.0"
"11998383","Enfant","1","40","1","2015-11-01 16:53:07.0"
"11998383","Femme","1","32","1","2015-11-01 16:53:07.0"
"11998383","Femme","1","40","1","2015-11-01 16:53:07.0"
"11999194","Femme","1","39","1","2015-11-01 20:35:03.0"
"12004767","Femme","1","40","1","2015-11-01 22:04:11.0"
"12005180","Femme","1","37","1","2015-11-01 09:06:03.0"
"12006998","Homme","2","43","3","2015-11-01 12:08:17.0"
"12007333","Homme","1","46","1","2015-11-01 18:36:00.0"
"12007879","Homme","1","47","1","2015-11-01 20:11:01.0"
"12009939","Homme","3","44","2","2015-11-01 21:31:05.0"
"12010179","Femme","1","39","1","2015-11-01 10:33:19.0"
"12016719","Enfant","2","35","2","2015-11-01 10:08:03.0"
"12018179","Homme","1","45","1","2015-11-01 20:13:06.0"
"12019792","Homme","1","44","1","2015-11-01 16:39:10.0"
"12030794","Enfant","2","32","1","2015-11-01 20:55:16.0"
"12030794","Enfant","2","33","1","2015-11-01 20:55:16.0"
"12040810","Enfant","2","23","1","2015-11-01 22:20:10.0"
"12040810","Enfant","2","31","1","2015-11-01 22:20:10.0"
"12044804","Femme","10","40","5","2015-11-01 22:18:05.0"
"12044804","Femme","10","41","5","2015-11-01 22:18:05.0"
"12050688","Femme","4","37","2","2015-11-01 22:20:04.0"
"12050688","Femme","4","38","2","2015-11-01 22:20:04.0"
"12059286","Enfant","2","23","2","2015-11-01 22:34:10.0"
"12074643","Homme","1","40","1","2015-11-01 22:23:06.0"
"12077157","Enfant","1","30","1","2015-11-01 17:54:12.0"
"12077157","Enfant","1","38","1","2015-11-01 17:54:12.0"
"12077157","Femme","1","30","1","2015-11-01 17:54:12.0"
"12077157","Femme","1","38","1","2015-11-01 17:54:12.0"
"12080765","Femme","1","38","1","2015-11-01 18:43:15.0"
"12085124","Homme","1","35","1","2015-11-01 10:51:05.0"
"12085124","Homme","1","42","1","2015-11-01 10:51:05.0"
"12085124","Femme","1","35","1","2015-11-01 10:51:05.0"
"12085124","Femme","1","42","1","2015-11-01 10:51:05.0"
"12087956","Femme","3","37","3","2015-11-01 15:24:00.0"
"12101813","Homme","1","44","1","2015-11-01 22:57:07.0"
"12107227","Femme","1","38","1","2015-11-01 18:51:08.0"
"12110759","Accessoires","2","39","1","2015-11-01 21:36:12.0"
"12110915","Femme","1","36","1","2015-11-01 14:41:11.0"
"12113055","Homme","2","43","1","2015-11-01 15:01:08.0"
"12113055","Homme","2","44","1","2015-11-01 15:01:08.0"
"12115046","Femme","2","39","2","2015-11-01 14:42:10.0"
"12116097","Femme","1","39","1","2015-11-01 21:47:16.0"
"12117777","Femme","1","41","1","2015-11-01 10:14:16.0"
"12117777","Accessoires","1","41","1","2015-11-01 10:14:16.0"
"12120490","Femme","2","38","2","2015-11-01 21:26:10.0"
"12121646","Enfant","7","31","6","2015-11-01 06:23:11.0"
"12126340","Femme","1","38","1","2015-11-01 12:45:09.0"
"12137717","Femme","1","39","1","2015-11-01 21:13:18.0"
"12138118","Femme","2","36","1","2015-11-01 20:53:01.0"
"12138118","Femme","2","37","1","2015-11-01 20:53:01.0"
"12141007","Femme","2","41","1","2015-11-01 21:15:13.0"
"12141773","Homme","1","43","1","2015-11-01 10:46:08.0"
"12144865","Enfant","1","32","1","2015-11-01 14:12:04.0"
"12145229","Homme","1","43","1","2015-11-01 21:24:01.0"
"12150458","Accessoires","1","42","1","2015-11-01 08:16:18.0"
"12150458","Homme","1","42","1","2015-11-01 08:16:18.0"
"12154225","Homme","2","44","1","2015-11-01 10:57:12.0"
"12154529","Femme","1","41","1","2015-11-01 17:50:17.0"
"12155664","Femme","1","38","1","2015-11-01 22:42:13.0"
"12160397","Femme","1","41","1","2015-11-01 23:42:18.0"
"12161338","Femme","1","37","1","2015-11-01 09:41:04.0"
"12161602","Homme","2","41","2","2015-11-01 17:51:11.0"
"12170354","Homme","2","31","1","2015-11-01 16:19:15.0"
"12170354","Homme","2","46","1","2015-11-01 16:19:15.0"
"12170354","Homme","2","42","1","2015-11-01 16:19:15.0"
"12170354","Homme","2","40","1","2015-11-01 16:19:15.0"
"12174573","Femme","1","38","1","2015-11-01 13:46:09.0"
"12187795","Enfant","1","27","1","2015-11-01 23:44:07.0"
"12190203","Femme","1","38","1","2015-11-01 14:37:03.0"
"12198262","Femme","1","38","1","2015-11-01 06:49:15.0"
"12205538","Homme","1","44","1","2015-11-01 09:21:05.0"
"12210668","Femme","1","36","1","2015-11-01 20:50:07.0"
"12211113","Femme","2","41","2","2015-11-01 17:28:01.0"
"12225068","Enfant","2","38","2","2015-11-01 22:03:03.0"
"12225810","Enfant","1","31","1","2015-11-01 11:51:14.0"
"12234826","Femme","1","35","1","2015-11-01 20:12:07.0"
"12240846","Enfant","2","30","1","2015-11-01 00:41:09.0"
"12240846","Enfant","2","31","1","2015-11-01 00:41:09.0"
"12241514","Femme","1","39","1","2015-11-01 19:30:04.0"
"12241549","Femme","1","40","1","2015-11-01 10:39:11.0"
"12247650","Accessoires","1","39","1","2015-11-01 15:23:10.0"
"12247650","Femme","1","39","1","2015-11-01 15:23:10.0"
"12247952","Femme","1","","0","2015-11-01 08:53:18.0"
"12251955","Femme","2","41","2","2015-11-01 19:26:12.0"
"12262646","Enfant","2","30","1","2015-11-01 17:36:02.0"
"12262646","Enfant","2","35","1","2015-11-01 17:36:02.0"
"12263160","Femme","1","37","1","2015-11-01 16:46:09.0"
"12270207","Homme","1","43","1","2015-11-01 23:03:12.0"
"12272390","Femme","3","37","3","2015-11-01 20:57:05.0"
"12276251","Femme","1","","0","2015-11-01 21:48:14.0"
"12279059","Enfant","2","30","1","2015-11-01 16:53:02.0"
"12279059","Enfant","2","39","1","2015-11-01 16:53:02.0"
"12284785","Femme","1","39","1","2015-11-01 20:55:19.0"
"12287503","Enfant","2","26","2","2015-11-01 01:32:00.0"
"12296683","Femme","1","38","1","2015-11-01 17:44:18.0"
"12302863","Femme","1","38","1","2015-11-01 18:09:01.0"
"12302863","Femme","1","41","1","2015-11-01 18:09:01.0"
"12302863","Homme","1","38","1","2015-11-01 18:09:01.0"
"12302863","Homme","1","41","1","2015-11-01 18:09:01.0"
"12316610","Enfant","2","28","1","2015-11-01 23:14:18.0"
"12316610","Enfant","2","32","1","2015-11-01 23:14:18.0"
"12318713","Homme","1","40","1","2015-11-01 19:31:15.0"
"12318713","Homme","1","41","1","2015-11-01 19:31:15.0"
"12318713","Femme","1","40","1","2015-11-01 19:31:15.0"
"12318713","Femme","1","41","1","2015-11-01 19:31:15.0"
"12318751","Homme","6","41","5","2015-11-01 00:28:06.0"
"12320962","Homme","1","40","1","2015-11-01 19:51:07.0"
"12324160","Sacs","1","","0","2015-11-01 16:38:08.0"
"12325164","Enfant","1","34","1","2015-11-01 20:31:03.0"
"12325880","Femme","2","39","2","2015-11-01 10:10:02.0"
"12334320","Femme","1","37","1","2015-11-01 12:25:06.0"
"12335269","Femme","1","38","1","2015-11-01 18:16:05.0"
"12345140","Enfant","1","24","1","2015-11-01 20:57:00.0"
"12345140","Enfant","1","37","1","2015-11-01 20:57:00.0"
"12345140","Femme","1","24","1","2015-11-01 20:57:00.0"
"12345140","Femme","1","37","1","2015-11-01 20:57:00.0"
"12345524","Femme","1","39","1","2015-11-01 12:07:11.0"
"12346099","Homme","1","42","1","2015-11-01 15:49:19.0"
"12346553","Femme","1","38","1","2015-11-01 09:42:00.0"
"12349791","Enfant","2","31","2","2015-11-01 10:38:09.0"
"12349844","Femme","1","39","1","2015-11-01 16:53:13.0"
"12349977","Femme","1","36","1","2015-11-01 09:41:15.0"
"12350997","Homme","1","42","1","2015-11-01 18:25:01.0"
"12353355","Femme","1","40","1","2015-11-01 15:49:01.0"
"12355470","Femme","1","34","1","2015-11-01 23:41:14.0"
"12356737","Femme","1","41","1","2015-11-01 20:29:03.0"
"12356737","Homme","1","41","1","2015-11-01 20:29:03.0"
"12367193","Femme","1","39","1","2015-11-01 07:37:12.0"
"12368766","Homme","1","44","1","2015-11-01 18:25:13.0"
"12375738","Femme","1","","0","2015-11-01 19:40:14.0"
"12407686","Femme","2","41","2","2015-11-01 15:27:14.0"
"12412653","Sacs","1","","0","2015-11-01 20:25:18.0"
"12416880","Femme","3","38","3","2015-11-01 09:48:07.0"
"12421641","Homme","1","40","1","2015-11-01 09:46:06.0"
"12423766","Femme","1","37","1","2015-11-01 14:21:13.0"
"12430161","Femme","2","35","2","2015-11-01 21:24:07.0"
"12437891","Femme","1","38","1","2015-11-01 12:36:01.0"
"12437891","Homme","1","38","1","2015-11-01 12:36:01.0"
"12445253","Femme","1","38","1","2015-11-01 19:48:09.0"
"12453654","Femme","1","","0","2015-11-01 15:34:02.0"
"12459725","Sacs","2","","0","2015-11-01 21:24:02.0"
"12461330","Homme","2","42","2","2015-11-01 12:17:10.0"
"12463954","Homme","1","42","1","2015-11-01 19:13:08.0"
"12479263","Enfant","1","30","1","2015-11-01 08:47:08.0"
"12486655","Femme","1","37","1","2015-11-01 17:31:04.0"
"12502089","Enfant","2","31","1","2015-11-01 18:23:02.0"
"12502089","Enfant","2","32","1","2015-11-01 18:23:02.0"
"12509639","Femme","1","39","1","2015-11-01 17:53:06.0"
"12510580","Femme","1","38","1","2015-11-01 19:46:02.0"
"12514567","Accessoires","1","42","1","2015-11-01 19:35:01.0"
"12514567","Homme","1","42","1","2015-11-01 19:35:01.0"
"12514895","Femme","1","38","1","2015-11-01 11:13:08.0"
"12515853","Femme","1","39","1","2015-11-01 17:37:12.0"
"12523452","Femme","1","","0","2015-11-01 00:36:02.0"
"12524286","Homme","2","","0","2015-11-01 20:37:13.0"
"12555930","Femme","2","40","2","2015-11-01 22:34:10.0"
"12559708","Enfant","1","30","1","2015-11-01 12:21:18.0"
"12561833","Femme","1","38","1","2015-11-01 03:03:19.0"
"12561833","Femme","1","43","1","2015-11-01 03:03:19.0"
"12561833","Homme","1","38","1","2015-11-01 03:03:19.0"
"12561833","Homme","1","43","1","2015-11-01 03:03:19.0"
"12569266","Femme","1","41","1","2015-11-01 16:40:06.0"
"12569862","Femme","1","37","1","2015-11-01 10:48:00.0"
"12570958","Enfant","1","38","1","2015-11-01 13:47:12.0"
"12575906","Enfant","1","26","1","2015-11-01 19:16:18.0"
"12579268","Femme","2","38","2","2015-11-01 11:40:06.0"
"12579377","Homme","1","43","1","2015-11-01 19:37:08.0"
"12597300","Homme","1","45","1","2015-11-01 19:27:09.0"
"12599911","Femme","1","39","1","2015-11-01 21:12:02.0"
"12616279","Femme","1","37","1","2015-11-01 12:06:10.0"
"12620388","Femme","2","38","2","2015-11-01 22:25:10.0"
"12638480","Enfant","1","31","1","2015-11-01 11:17:07.0"
"12644181","Femme","1","39","1","2015-11-01 11:22:18.0"
"12665292","Accessoires","1","36","1","2015-11-01 22:49:11.0"
"12665292","Enfant","1","36","1","2015-11-01 22:49:11.0"
"12682183","Homme","1","43","1","2015-11-01 21:16:05.0"
"12684664","Homme","1","43","1","2015-11-01 14:51:18.0"
"12705589","Enfant","2","39","1","2015-11-01 10:26:06.0"
"12705589","Enfant","2","38","1","2015-11-01 10:26:06.0"
"12705589","Enfant","2","32","1","2015-11-01 10:26:06.0"
"12705589","Enfant","2","27","1","2015-11-01 10:26:06.0"
"12708447","Enfant","3","27","2","2015-11-01 14:55:19.0"
"12712362","Femme","1","38","1","2015-11-01 22:24:09.0"
"12715919","Femme","2","38","1","2015-11-01 14:20:03.0"
"12715919","Femme","2","39","1","2015-11-01 14:20:03.0"
"12724284","Femme","1","40","1","2015-11-01 19:59:07.0"
"12724690","Homme","2","45","2","2015-11-01 16:50:00.0"
"12730980","Femme","1","39","1","2015-11-01 15:55:15.0"
"12732685","Homme","2","41","2","2015-11-01 23:14:19.0"
"12732911","Femme","1","38","1","2015-11-01 21:56:01.0"
"12735151","Femme","1","42","1","2015-11-01 18:35:19.0"
"12735151","Homme","1","42","1","2015-11-01 18:35:19.0"
"12736170","Femme","1","36","1","2015-11-01 11:27:08.0"
"12744535","Homme","1","","0","2015-11-01 20:46:07.0"
"12748747","Homme","3","41","1","2015-11-01 07:38:19.0"
"12751936","Homme","1","43","1","2015-11-01 20:50:08.0"
"12762096","Homme","1","43","1","2015-11-01 19:49:07.0"
"12762666","Femme","1","40","1","2015-11-01 21:58:08.0"
"12763830","Femme","1","","0","2015-11-01 10:55:00.0"
"12765886","Enfant","1","31","1","2015-11-01 18:54:12.0"
"12766758","Homme","1","42","1","2015-11-01 09:37:04.0"
"12770257","Femme","1","37","1","2015-11-01 15:03:17.0"
"12771429","Femme","1","36","1","2015-11-01 00:39:05.0"
"12775803","Femme","2","39","2","2015-11-01 11:26:01.0"
"12776074","Femme","2","39","2","2015-11-01 10:38:08.0"
"12783382","Enfant","1","39","1","2015-11-01 14:43:16.0"
"12783382","Femme","1","39","1","2015-11-01 14:43:16.0"
"12799745","Accessoires","1","41","1","2015-11-01 18:00:11.0"
"12799745","Homme","1","41","1","2015-11-01 18:00:11.0"
"12799745","Femme","1","41","1","2015-11-01 18:00:11.0"
"12809462","Enfant","1","","0","2015-11-01 17:37:11.0"
"12809462","Accessoires","1","","0","2015-11-01 17:37:11.0"
"12812887","Enfant","1","","0","2015-11-01 17:21:03.0"
"12812887","Sacs","1","","0","2015-11-01 17:21:03.0"
"12812943","Enfant","1","26","1","2015-11-01 23:09:09.0"
"12815455","Femme","1","35","1","2015-11-01 22:33:15.0"
"12821095","Femme","1","36","1","2015-11-01 09:28:19.0"
"12823579","Accessoires","2","38","1","2015-11-01 22:45:03.0"
"12823579","Accessoires","2","39","1","2015-11-01 22:45:03.0"
"12823579","Femme","2","38","1","2015-11-01 22:45:03.0"
"12823579","Femme","2","39","1","2015-11-01 22:45:03.0"
"12836165","Femme","1","42","1","2015-11-01 12:16:12.0"
"12844162","Femme","2","38","2","2015-11-01 11:17:16.0"
"12845863","Femme","1","40","1","2015-11-01 21:03:00.0"
"12847426","Femme","1","37","1","2015-11-01 11:20:14.0"
"12847479","Homme","1","44","1","2015-11-01 13:09:17.0"
"12850005","Femme","1","40","1","2015-11-01 19:17:16.0"
"12853037","Homme","1","","0","2015-11-01 15:29:12.0"
"12857697","Homme","1","41","1","2015-11-01 11:48:16.0"
"12860067","Femme","1","39","1","2015-11-01 10:04:18.0"
"12860067","Femme","1","40","1","2015-11-01 10:04:18.0"
"12860067","Homme","1","39","1","2015-11-01 10:04:18.0"
"12860067","Homme","1","40","1","2015-11-01 10:04:18.0"
"12867463","Femme","1","35","1","2015-11-01 09:49:16.0"
"12870242","Femme","1","38","1","2015-11-01 19:12:09.0"
"12870242","Femme","1","43","1","2015-11-01 19:12:09.0"
"12870242","Homme","1","38","1","2015-11-01 19:12:09.0"
"12870242","Homme","1","43","1","2015-11-01 19:12:09.0"
"12878092","Femme","1","37","1","2015-11-01 21:15:02.0"
"12883404","Femme","1","39","1","2015-11-01 12:37:14.0"
"12892736","Femme","1","37","1","2015-11-01 08:33:04.0"
"12900193","Femme","1","37","1","2015-11-01 14:21:04.0"
"12900193","Femme","1","40","1","2015-11-01 14:21:04.0"
"12900193","Homme","1","37","1","2015-11-01 14:21:04.0"
"12900193","Homme","1","40","1","2015-11-01 14:21:04.0"
"12909873","Femme","1","40","1","2015-11-01 21:23:03.0"
"12931943","Enfant","3","25","2","2015-11-01 09:25:07.0"
"12933365","Enfant","2","32","1","2015-11-01 21:56:19.0"
"12933365","Enfant","2","35","1","2015-11-01 21:56:19.0"
"12945586","Enfant","1","33","1","2015-11-01 09:59:01.0"
"12945586","Enfant","1","38","1","2015-11-01 09:59:01.0"
"12945586","Femme","1","33","1","2015-11-01 09:59:01.0"
"12945586","Femme","1","38","1","2015-11-01 09:59:01.0"
"12946693","Femme","1","36","1","2015-11-01 00:52:12.0"
"12954626","Homme","1","42","1","2015-11-01 18:27:07.0"
"12960973","Femme","1","40","1","2015-11-01 12:02:17.0"
"12964546","Homme","1","","0","2015-11-01 18:15:10.0"
"12964627","Femme","1","37","1","2015-11-01 00:28:18.0"
"12973756","Homme","3","46","3","2015-11-01 17:56:19.0"
"12982802","Accessoires","1","40","1","2015-11-01 17:45:04.0"
"12982802","Homme","1","40","1","2015-11-01 17:45:04.0"
"12986998","Femme","1","","0","2015-11-01 09:03:19.0"
"12988677","Enfant","3","31","3","2015-11-01 12:46:09.0"
"12995984","Femme","1","39","1","2015-11-01 18:21:03.0"
"12997886","Homme","1","45","1","2015-11-01 22:41:18.0"
"12999304","Femme","1","38","1","2015-11-01 10:47:00.0"
"13002337","Femme","1","40","1","2015-11-01 00:47:02.0"
"13004994","Femme","1","38","1","2015-11-01 08:35:10.0"
"13008836","Enfant","2","33","1","2015-11-01 22:37:17.0"
"13015363","Homme","1","42","1","2015-11-01 13:41:19.0"
"13020041","Femme","3","39","1","2015-11-01 11:52:14.0"
"13020041","Femme","3","38","1","2015-11-01 11:52:14.0"
"13020041","Femme","3","37","1","2015-11-01 11:52:14.0"
"13022026","Femme","1","42","1","2015-11-01 08:41:14.0"
"13027863","Femme","1","38","1","2015-11-01 19:14:03.0"
"13028541","Femme","1","39","1","2015-11-01 19:13:03.0"
"13036140","Homme","3","41","2","2015-11-01 13:31:00.0"
"13036140","Homme","3","46","2","2015-11-01 13:31:00.0"
"13040449","Femme","1","36","1","2015-11-01 13:19:06.0"
"13046703","Femme","2","39","2","2015-11-01 07:22:12.0"
"13053554","Femme","1","38","1","2015-11-01 21:15:00.0"
"13054836","Femme","1","","0","2015-11-01 18:59:03.0"
"13064682","Femme","1","38","1","2015-11-01 15:44:09.0"
"13070215","Enfant","1","37","1","2015-11-01 21:18:00.0"
"13070215","Enfant","1","42","1","2015-11-01 21:18:00.0"
"13070215","Femme","1","37","1","2015-11-01 21:18:00.0"
"13070215","Femme","1","42","1","2015-11-01 21:18:00.0"
"13072710","Femme","1","37","1","2015-11-01 16:08:00.0"
"13079555","Accessoires","1","31","1","2015-11-01 22:34:02.0"
"13079555","Enfant","1","31","1","2015-11-01 22:34:02.0"
"13085643","Femme","2","37","1","2015-11-01 13:07:15.0"
"13085643","Femme","2","38","1","2015-11-01 13:07:15.0"
"13092657","Femme","1","39","1","2015-11-01 07:46:10.0"
"13105869","Homme","1","39","1","2015-11-01 15:05:18.0"
"13107798","Femme","1","38","1","2015-11-01 18:00:12.0"
"13107798","Femme","1","43","1","2015-11-01 18:00:12.0"
"13107798","Homme","1","38","1","2015-11-01 18:00:12.0"
"13107798","Homme","1","43","1","2015-11-01 18:00:12.0"
"13113005","Femme","1","42","1","2015-11-01 16:31:03.0"
"13116281","Femme","3","40","2","2015-11-01 14:45:16.0"
"13119788","Femme","1","37","1","2015-11-01 10:56:05.0"
"13125727","Femme","1","38","1","2015-11-01 13:34:01.0"
"13130284","Femme","1","38","1","2015-11-01 19:02:01.0"
"13131867","Homme","1","41","1","2015-11-01 15:31:08.0"
"13133969","Femme","2","37","1","2015-11-01 23:40:01.0"
"13133969","Femme","2","38","1","2015-11-01 23:40:01.0"
"13134354","Femme","1","37","1","2015-11-01 18:51:03.0"
"13140532","Femme","1","38","1","2015-11-01 18:05:14.0"
"13140956","Femme","2","37","1","2015-11-01 21:06:16.0"
"13140956","Femme","2","38","1","2015-11-01 21:06:16.0"
"13155411","Femme","1","39","1","2015-11-01 18:29:07.0"
"13156962","Femme","1","42","1","2015-11-01 17:53:10.0"
"13158303","Homme","1","43","1","2015-11-01 20:18:09.0"
"13164851","Enfant","1","26","1","2015-11-01 17:55:00.0"
"13171634","Femme","1","38","1","2015-11-01 20:26:09.0"
"13172361","Femme","4","39","2","2015-11-01 18:44:08.0"
"13174963","Enfant","1","31","1","2015-11-01 19:41:08.0"
"13176953","Homme","1","46","1","2015-11-01 09:36:07.0"
"13180213","Femme","1","38","1","2015-11-01 16:12:06.0"
"13184474","Femme","1","37","1","2015-11-01 22:38:06.0"
"13184474","Femme","1","44","1","2015-11-01 22:38:06.0"
"13184474","Homme","1","37","1","2015-11-01 22:38:06.0"
"13184474","Homme","1","44","1","2015-11-01 22:38:06.0"
"13196074","Enfant","2","27","1","2015-11-01 10:40:06.0"
"13196074","Enfant","2","33","1","2015-11-01 10:40:06.0"
"13200650","Femme","1","39","1","2015-11-01 23:38:02.0"
"13201281","Femme","1","41","1","2015-11-01 19:34:01.0"
"13213899","Femme","1","38","1","2015-11-01 17:44:13.0"
"13214902","Femme","1","39","1","2015-11-01 21:20:11.0"
"13225947","Femme","1","38","1","2015-11-01 11:03:09.0"
"13228516","Accessoires","1","37","1","2015-11-01 16:18:19.0"
"13228516","Femme","1","37","1","2015-11-01 16:18:19.0"
"13230961","Femme","3","38","2","2015-11-01 17:58:08.0"
"13232040","Homme","1","41","1","2015-11-01 11:19:04.0"
"13232932","Enfant","1","29","1","2015-11-01 21:25:09.0"
"13232932","Enfant","1","38","1","2015-11-01 21:25:09.0"
"13232932","Femme","1","29","1","2015-11-01 21:25:09.0"
"13232932","Femme","1","38","1","2015-11-01 21:25:09.0"
"13235541","Femme","1","36","1","2015-11-01 14:31:13.0"
"13235541","Femme","1","42","1","2015-11-01 14:31:13.0"
"13235541","Homme","1","36","1","2015-11-01 14:31:13.0"
"13235541","Homme","1","42","1","2015-11-01 14:31:13.0"
"13236577","Femme","1","37","1","2015-11-01 19:01:00.0"
"13238549","Femme","2","39","2","2015-11-01 13:03:00.0"
"13242201","Homme","1","40","1","2015-11-01 17:37:17.0"
"13243326","Femme","1","39","1","2015-11-01 20:57:02.0"
"13247926","Femme","1","42","1","2015-11-01 17:32:14.0"
"13254204","Femme","1","37","1","2015-11-01 10:58:14.0"
"13261639","Femme","1","","0","2015-11-01 14:01:07.0"
"13303985","Femme","1","39","1","2015-11-01 14:56:19.0"
"13320083","Femme","3","42","2","2015-11-01 20:42:12.0"
"13322701","Femme","1","40","1","2015-11-01 10:38:18.0"
"13326840","Enfant","1","23","1","2015-11-01 14:49:05.0"
"13333285","Homme","4","42","2","2015-11-01 21:43:05.0"
"13343679","Enfant","3","42","2","2015-11-01 21:50:14.0"
"13343679","Enfant","3","28","2","2015-11-01 21:50:14.0"
"13343679","Homme","3","42","2","2015-11-01 21:50:14.0"
"13343679","Homme","3","28","2","2015-11-01 21:50:14.0"
"13343887","Femme","1","38","1","2015-11-01 10:55:07.0"
"13350625","Femme","1","40","1","2015-11-01 07:24:04.0"
"13359559","Homme","1","44","1","2015-11-01 07:26:04.0"
"13369103","Femme","1","39","1","2015-11-01 11:51:01.0"
"13372516","Enfant","1","34","1","2015-11-01 11:45:03.0"
"13372516","Enfant","1","41","1","2015-11-01 11:45:03.0"
"13372516","Homme","1","34","1","2015-11-01 11:45:03.0"
"13372516","Homme","1","41","1","2015-11-01 11:45:03.0"
"13374697","Femme","1","39","1","2015-11-01 21:12:02.0"
"13387839","Femme","1","39","1","2015-11-01 19:49:15.0"
"13388754","Femme","2","38","1","2015-11-01 16:20:01.0"
"13388754","Femme","2","39","1","2015-11-01 16:20:01.0"
"13390216","Femme","1","38","1","2015-11-01 18:05:18.0"
"13390940","Femme","2","41","2","2015-11-01 07:32:04.0"
"13398299","Femme","1","37","1","2015-11-01 17:59:03.0"
"13405952","Femme","1","36","1","2015-11-01 19:01:00.0"
"13409150","Homme","1","45","1","2015-11-01 19:13:17.0"
"13414159","Homme","1","41","1","2015-11-01 18:22:08.0"
"13417434","Femme","3","40","2","2015-11-01 09:44:04.0"
"13418898","Enfant","3","34","3","2015-11-01 16:28:01.0"
"13424162","Homme","1","45","1","2015-11-01 13:20:14.0"
"13426131","Femme","1","43","1","2015-11-01 17:30:11.0"
"13426131","Femme","1","38","1","2015-11-01 17:30:11.0"
"13426131","Homme","1","43","1","2015-11-01 17:30:11.0"
"13426131","Homme","1","38","1","2015-11-01 17:30:11.0"
"13426170","Enfant","1","32","1","2015-11-01 12:05:14.0"
"13435876","Enfant","1","39","1","2015-11-01 14:15:08.0"
"13447312","Femme","3","37","3","2015-11-01 20:22:15.0"
"13455291","Femme","1","40","1","2015-11-01 21:54:09.0"
"13455291","Femme","1","42","1","2015-11-01 21:54:09.0"
"13455291","Homme","1","40","1","2015-11-01 21:54:09.0"
"13455291","Homme","1","42","1","2015-11-01 21:54:09.0"
"13459837","Enfant","1","38","2","2015-11-01 13:00:01.0"
"13459837","Femme","1","38","2","2015-11-01 13:00:01.0"
"13470711","Femme","1","39","1","2015-11-01 21:57:07.0"
"13471768","Homme","1","43","1","2015-11-01 18:54:00.0"
"13473658","Accessoires","2","39","1","2015-11-01 13:32:12.0"
"13475410","Homme","1","42","1","2015-11-01 11:57:15.0"
"13487996","Homme","1","42","1","2015-11-01 11:20:08.0"
"13501118","Enfant","3","33","2","2015-11-01 19:12:13.0"
"13504799","Enfant","1","39","1","2015-11-01 19:12:11.0"
"13504799","Enfant","1","40","1","2015-11-01 19:12:11.0"
"13504799","Femme","1","39","1","2015-11-01 19:12:11.0"
"13504799","Femme","1","40","1","2015-11-01 19:12:11.0"
"13507457","Homme","1","43","1","2015-11-01 09:27:18.0"
"13507931","Femme","1","40","1","2015-11-01 21:56:16.0"
"13512819","Femme","1","38","1","2015-11-01 14:04:04.0"
"13515970","Homme","1","40","1","2015-11-01 11:09:15.0"
"13520306","Femme","1","38","1","2015-11-01 22:21:09.0"
"13520306","Femme","1","42","1","2015-11-01 22:21:09.0"
"13520306","Sacs","1","38","1","2015-11-01 22:21:09.0"
"13520306","Sacs","1","42","1","2015-11-01 22:21:09.0"
"13520306","Homme","1","38","1","2015-11-01 22:21:09.0"
"13520306","Homme","1","42","1","2015-11-01 22:21:09.0"
"13527332","Enfant","2","27","2","2015-11-01 20:24:19.0"
"13529053","Enfant","1","33","1","2015-11-01 13:09:16.0"
"13531698","Accessoires","1","44","1","2015-11-01 19:26:14.0"
"13531698","Homme","1","44","1","2015-11-01 19:26:14.0"
